Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1820	-554.5362	-564.374	9.83777	12.13124	2.830016
1830	-547.6187	-556.6256	9.006915	14.52597	2.896181
1840	-555.629	-558.7684	3.139358	12.76688	3.367837
1850	-559.3882	-566.0103	6.622036	10.10188	3.014058
1860	-552.2096	-559.9401	7.730569	12.0731	3.00283
1870	-544.4623	-554.6412	10.17888	12.80588	2.817027
1880	-547.0874	-558.0893	11.00194	17.23893	2.700442
1890	-559.5367	-566.7488	7.212135	14.52132	3.019864
1900	-549.962	-563.207	13.24501	15.31313	2.601557
1910	-548.2724	-558.1507	9.878384	15.98743	2.804486
1920	-555.4365	-562.8179	7.381393	12.32103	3.034364
1930	-555.4366	-561.3895	5.952878	12.9625	3.145041
1940	-550.833	-559.2459	8.412905	13.13362	2.955091
1950	-547.027	-555.2604	8.233478	12.24652	2.964158
1960	-553.8566	-557.0065	3.149952	10.80351	3.381544
1970	-551.3265	-560.3896	9.06309	13.12515	2.905575
1980	-557.8657	-564.6736	6.807846	17.2291	2.944171
1990	-542.9201	-553.7837	10.86364	15.08361	2.761015
2000	-547.7874	-560.956	13.16858	12.92531	2.58729
2010	-556.8951	-564.011	7.11593	12.79829	3.056242
2020	-546.2449	-551.6969	5.452007	16.64391	3.051057
2030	-556.5708	-562.3043	5.733414	11.49652	3.16266
2040	-549.9332	-560.8586	10.92538	14.66134	2.762681
2050	-537.9493	-553.4721	15.52275	19.20804	2.39861
2060	-540.0477	-553.2154	13.1677	16.07672	2.597402
2070	-548.2597	-558.6884	10.42871	16.16496	2.765455
2080	-558.6207	-565.8457	7.224984	12.47956	3.047813
2090	-561.0959	-562.6563	1.560423	10.66728	3.527519
2100	-562.3965	-563.3222	0.9256174	12.68249	3.544689
2110	-541.6228	-556.5258	14.90296	15.04109	2.493139
2120	-550.1116	-559.677	9.565408	15.6273	2.833977
2130	-559.622	-572.8704	13.24842	16.17403	2.590878
2140	-545.971	-559.6846	13.71355	15.49235	2.569698
2150	-559.2677	-566.7812	7.513489	14.38851	3.00246
2160	-545.0832	-557.3046	12.22142	17.43557	2.62446
2170	-559.2112	-565.4612	6.249948	15.74971	3.041217
2180	-548.4336	-560.3968	11.96327	13.63278	2.691324
2190	-551.4417	-560.3956	8.953914	12.92638	2.913373
2200	-554.5915	-564.079	9.487444	15.49056	2.842531
2210	-551.8432	-561.4555	9.612336	14.15596	2.85961
2220	-557.4845	-562.3709	4.886368	14.00938	3.198503
2230	-549.4885	-556.5884	7.099967	14.92693	3.015555
2240	-548.8967	-557.5984	8.701663	12.74041	2.931983
2250	-551.3557	-559.9478	8.592098	14.49596	2.925357
2260	-557.4925	-568.8842	11.39167	12.94718	2.725179
2270	-555.238	-566.5832	11.34526	12.89989	2.727869
2280	-552.9144	-559.9188	7.004403	14.52107	3.034177
2290	-549.3257	-557.648	8.322311	14.41123	2.945775
2300	-566.2067	-569.6975	3.490806	14.28843	3.286396
2310	-545.2151	-555.7772	10.5621	16.38602	2.751294
