Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
200	0	-551.1403	-561.4984	10.35804	11.90754	2.779162
201	1	-566.7468	-570.4807	3.733815	8.715477	3.16227
202	0	-549.2756	-564.1447	14.86914	17.92663	2.462917
203	1	-552.7526	-556.3819	3.62921	14.11874	3.283802
204	0	-549.548	-565.5344	15.98646	15.2256	2.422171
205	1	-560.3401	-572.3774	12.03721	12.82964	2.672516
206	0	-554.3196	-562.6926	8.373033	11.20491	2.920586
207	1	-551.0282	-554.8583	3.830106	14.15221	3.268227
208	0	-553.5485	-562.0231	8.474623	14.15252	2.940039
209	1	-545.7835	-560.6245	14.84093	18.66665	2.447708
210	0	-558.3842	-562.4629	4.078789	11.61111	3.306999
211	1	-555.2663	-566.4215	11.15519	10.39071	2.599683
212	0	-553.122	-566.2212	13.09922	14.06137	2.612666
213	1	-547.4555	-565.2724	17.81687	18.81878	2.285851
214	0	-541.1056	-552.4255	11.31987	14.31239	2.738346
215	1	-555.6136	-570.1424	14.52882	15.35897	2.517588
216	0	-549.9175	-555.6097	5.692149	14.91553	3.110298
217	1	-547.846	-562.7768	14.93085	11.75829	2.384094
218	0	-555.919	-559.481	3.562043	11.25548	3.350404
219	1	-551.0946	-561.159	10.06447	11.23273	2.771328
220	0	-552.8448	-561.9452	9.100435	15.33563	2.87163
221	1	-543.6841	-557.5333	13.84919	14.44984	2.562474
222	0	-543.8662	-558.2807	14.41445	13.78647	2.514634
223	1	-547.2005	-561.9746	14.77405	18.02006	2.466214
224	0	-551.4861	-562.3335	10.84739	19.10431	2.645827
225	1	-555.5051	-564.2438	8.738637	12.30081	2.923869
226	0	-553.7033	-563.7489	10.04558	15.23155	2.812236
227	1	-545.5191	-556.1836	10.66448	13.57022	2.786465
228	0	-541.3051	-558.8409	17.53582	13.96925	2.294326
229	1	-566.3203	-568.7548	2.434496	13.19748	3.407889
230	0	-553.3004	-564.9119	11.61144	13.65136	2.717251
231	1	-553.7447	-558.0046	4.259914	13.515	3.260183
232	0	-545.6873	-560.7744	15.08719	12.51698	2.419787
233	1	-547.9115	-560.0412	12.12968	13.15406	2.672478
234	0	-556.0133	-563.9704	7.957107	10.98973	2.947191
235	1	-549.4887	-559.3932	9.904507	17.67487	2.748926
236	0	-543.3962	-556.8277	13.43144	15.48311	2.587992
237	1	-540.9477	-552.9007	11.95302	16.30604	2.668166
238	0	-557.2417	-561.4811	4.239377	11.26953	3.290413
239	1	-549.8524	-559.2785	9.426067	11.61846	2.846774
240	0	-553.1695	-568.5425	15.37304	14.89206	2.461109
241	1	-555.3916	-562.4069	7.015282	15.57623	2.999028
242	0	-555.6979	-565.7303	10.03236	14.88189	2.819917
243	1	-549.754	-560.847	11.09302	12.74663	2.744418
244	0	-545.6332	-558.3067	12.67347	21.30475	2.475983
245	1	-537.5229	-556.4581	18.93522	15.7813	2.236119
246	0	-544.076	-562.0534	17.97747	17.06654	2.29687
247	1	-548.3163	-555.0782	6.761875	11.93936	3.081589
248	0	-565.2308	-573.5727	8.341965	12.77623	2.960366
249	1	-558.5391	-562.8802	4.341115	13.43382	3.256661
250	0	-548.5401	-559.8391	11.29899	15.53794	2.724723
251	1	-556.5918	-564.0711	7.479364	10.75581	2.978041
252	0	-556.8154	-565.4019	8.586531	13.58363	2.939472
253	1	-563.1673	-571.6917	8.524347	9.845817	2.797522
254	0	-557.0502	-563.2811	6.230908	10.17369	3.058364
255	1	-567.1387	-572.5057	5.367001	14.97524	3.12975
256	0	-546.7013	-558.0402	11.33898	18.04111	2.656159
257	1	-546.7626	-553.8112	7.048571	18.6434	2.866238
258	0	-553.1061	-560.7774	7.671348	11.31897	2.987818
259	1	-551.6783	-559.2442	7.565871	10.71898	2.96777
260	0	-550.7441	-558.1629	7.418839	12.07596	3.02869
261	1	-553.8371	-559.9215	6.084369	9.971362	3.056578
262	0	-557.729	-565.4482	7.719217	13.95168	2.997383
263	1	-544.5131	-555.1562	10.64308	15.87138	2.759454
264	0	-546.0274	-559.3956	13.36823	18.19589	2.53959
265	1	-552.8221	-562.3168	9.494719	13.26089	2.873048
266	0	-552.9976	-564.8134	11.81586	15.94628	2.684113
267	1	-555.4036	-561.9603	6.55675	10.55772	3.05287
268	0	-557.4073	-566.2066	8.799325	15.22058	2.894346
269	1	-554.6579	-564.8626	10.20476	13.69202	2.820231
