Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
125	1	-447.6929	-453.1218	5.428973	4543.523	14.13408	0.981206	0.995121	1.00475	1.01892	2.341285
126	0	-450.8532	-452.9311	2.077951	11005.97	14.36976	0.98791	0.996879	1.00307	1.01214	2.579989
127	1	-465.4638	-461.7472	-3.716563	34373.1	17.10384	0.993152	0.998241	1.00174	1.00686	2.89191
128	0	-462.1965	-460.2313	-1.965171	48008.01	11.49957	0.994205	0.998512	1.00148	1.00581	2.83102
129	1	-463.2766	-457.8732	-5.403391	69617.88	12.86285	0.995187	0.998765	1.00123	1.00482	3.134177
130	0	-444.9442	-447.5055	2.561363	97521.16	14.28556	0.995933	0.998957	1.00104	1.00407	2.545669
131	1	-460.5464	-458.0115	-2.534888	60991.88	12.07927	0.994858	0.998681	1.00131	1.00515	2.899655
132	0	-463.5811	-456.1054	-7.475663	24357.56	11.27304	0.991867	0.997908	1.00207	1.00816	3.308388
133	1	-463.5203	-456.9045	-6.61573	88932.3	10.2725	0.995741	0.998908	1.00109	1.00427	3.195432
134	0	-466.4383	-456.3454	-10.093	68002.73	10.95017	0.99513	0.998751	1.00124	1.00488	3.542052
135	1	-468.2941	-459.0385	-9.2556	9355.93	10.98309	0.986889	0.996613	1.00333	1.01317	3.465798
136	0	-464.1874	-452.7593	-11.4281	48645.17	9.2911	0.994243	0.998522	1.00147	1.00577	3.628932
137	1	-470.345	-457.0199	-13.32513	92805.52	11.88489	0.995831	0.998931	1.00106	1.00418	3.80228
138	0	-452.7622	-458.5449	5.78265	33499.31	15.15985	0.993064	0.998218	1.00177	1.00695	2.335485
139	1	-467.2134	-463.0425	-4.170852	47399.58	14.21791	0.994168	0.998503	1.00149	1.00584	3.018547
140	0	-462.2501	-458.2727	-3.97742	63539.9	14.2477	0.994962	0.998708	1.00128	1.00505	3.004264
141	1	-462.5849	-459.7185	-2.866317	12904.5	14.87441	0.988833	0.99712	1.00284	1.01121	2.913213
142	0	-467.1945	-461.0744	-6.120086	65599.62	14.16122	0.995042	0.998728	1.00126	1.00497	3.15751
143	1	-459.3649	-452.3628	-7.002119	19391.47	14.9068	0.990887	0.997654	1.00232	1.00914	3.189875
144	0	-465.4838	-464.7317	-0.7520666	79811.47	14.5911	0.995504	0.998847	1.00115	1.0045	2.774725
145	1	-458.9341	-454.814	-4.120154	97590.85	14.65259	0.995934	0.998958	1.00104	1.00407	3.003871
146	0	-469.6907	-466.3913	-3.299452	7302.13	15.10793	0.985164	0.996162	1.00376	1.01491	2.936037
147	1	-472.2306	-462.3813	-9.84931	55116.88	9.909767	0.994591	0.998612	1.00138	1.00542	3.497284
148	0	-461.3003	-455.87	-5.430311	27996.03	12.45967	0.992413	0.998049	1.00193	1.00761	3.139434
149	1	-457.5271	-455.5177	-2.009374	42256.98	12.82417	0.993823	0.998414	1.00157	1.00619	2.869948
150	0	-461.8116	-455.0885	-6.723153	36614.93	10.56841	0.993365	0.998296	1.00169	1.00665	3.2207
151	1	-463.0842	-456.8668	-6.217451	80275.2	13.08967	0.995517	0.998851	1.00114	1.00449	3.193345
152	0	-464.1202	-461.1817	-2.938466	97397.02	11.93534	0.99593	0.998957	1.00104	1.00408	2.92967
153	1	-466.0637	-458.8042	-7.259495	59524.82	11.30442	0.994795	0.998664	1.00133	1.00521	3.289608
154	0	-460.4894	-456.4566	-4.032821	25042.29	15.61532	0.991979	0.997937	1.00204	1.00804	2.967833
155	1	-460.0513	-460.2002	0.1488101	70147.7	17.5211	0.995205	0.99877	1.00122	1.0048	2.654067
156	0	-454.6933	-450.7177	-3.975605	17703.87	14.22028	0.990463	0.997544	1.00242	1.00957	3.004761
157	1	-475.728	-467.1735	-8.554503	19662.97	11.84003	0.99095	0.99767	1.0023	1.00908	3.401426
158	0	-457.8049	-454.3949	-3.410002	62011.75	12.20585	0.9949	0.998692	1.0013	1.00511	2.974223
159	1	-461.7759	-456.2864	-5.48948	23008.42	9.85429	0.991633	0.997847	1.00213	1.00839	3.052311
160	0	-452.7735	-456.1717	3.398164	51142.01	17.92113	0.994385	0.998559	1.00143	1.00563	2.460691
161	1	-461.6528	-451.3686	-10.2842	3750.472	11.67396	0.979321	0.994623	1.00522	1.02083	3.551216
162	0	-444.8336	-448.9743	4.140648	35524.86	15.33356	0.993264	0.998269	1.00171	1.00675	2.444311
163	1	-468.8028	-460.2489	-8.553938	69570.44	8.385011	0.995185	0.998765	1.00123	1.00482	3.198179
164	0	-451.9336	-447.293	-4.640621	44469.59	19.2322	0.993979	0.998454	1.00153	1.00603	2.847816
165	1	-462.987	-457.9442	-5.04285	36191	16.75451	0.993326	0.998286	1.0017	1.00669	2.985039
166	0	-461.0579	-449.4546	-11.60326	84692.69	12.90255	0.995636	0.998881	1.00111	1.00437	3.614226
167	1	-469.5314	-463.3976	-6.133766	89292.23	11.55889	0.995749	0.99891	1.00108	1.00426	3.194355
168	0	-456.0709	-455.4827	-0.5882568	59503.45	11.8075	0.994794	0.998664	1.00133	1.00522	2.727118
169	1	-460.5432	-453.0774	-7.465789	6624.945	11.95985	0.984427	0.995968	1.00395	1.01566	3.308832
170	0	-459.9567	-451.4313	-8.525377	27973.37	9.051554	0.99241	0.998049	1.00193	1.00761	3.29126
171	1	-458.1397	-459.5648	1.425057	72023.44	12.82408	0.995268	0.998786	1.00121	1.00474	2.602135
172	0	-459.4469	-449.4998	-9.947173	15609.59	12.33416	0.989845	0.997383	1.00258	1.01019	3.505969
173	1	-469.2336	-466.0519	-3.181699	8142.616	13.12488	0.985949	0.996367	1.00356	1.01412	2.961336
174	0	-462.0817	-450.5709	-11.51081	78057.66	8.443801	0.995454	0.998834	1.00116	1.00455	3.558628
175	1	-473.6153	-465.5343	-8.081029	99590.75	13.35322	0.995975	0.998968	1.00103	1.00403	3.327138
176	0	-466.126	-460.8258	-5.300203	43702.29	11.0048	0.993926	0.99844	1.00155	1.00609	3.106498
177	1	-460.6548	-452.8053	-7.849527	89079.34	9.439978	0.995744	0.998909	1.00108	1.00426	3.258502
178	0	-465.9586	-460.8973	-5.061214	38929.68	13.26991	0.993565	0.998347	1.00164	1.00645	3.102376
179	1	-466.3947	-457.4833	-8.911435	769.5371	13.75001	0.954558	0.987928	1.01133	1.04619	3.37306
180	0	-457.4985	-459.4184	1.919925	45737.23	15.91722	0.994063	0.998476	1.00151	1.00595	2.583093
181	1	-456.9351	-454.9297	-2.005465	152.2206	10.53499	0.898936	0.971841	1.02441	1.10482	2.771413
182	0	-451.8379	-456.7605	4.922582	13724.92	19.5772	0.989171	0.997208	1.00275	1.01087	2.342854
183	1	-441.4531	-445.1231	3.66997	16310.31	17.02379	0.990065	0.99744	1.00252	1.00997	2.461256
184	0	-455.2789	-455.862	0.5831005	59711.13	12.84334	0.994803	0.998667	1.00132	1.00521	2.66828
185	1	-455.2288	-459.6691	4.440297	99508.52	15.55074	0.995973	0.998968	1.00103	1.00403	2.425193
186	0	-460.9945	-458.5683	-2.426213	21037.53	11.74576	0.99125	0.997748	1.00222	1.00878	2.880682
187	1	-469.1808	-464.1681	-5.012728	96617.33	13.20422	0.995914	0.998953	1.00104	1.00409	3.099724
188	0	-453.5277	-451.629	-1.898715	1674.715	13.54767	0.969112	0.991897	1.00776	1.03123	2.863927
189	1	-458.4844	-457.562	-0.9224754	8068.75	12.72938	0.985885	0.99635	1.00358	1.01419	2.783527
190	0	-459.7186	-453.228	-6.490596	4814.613	12.59533	0.981741	0.995262	1.00462	1.01838	3.222897
191	1	-471.4119	-472.8083	1.396319	45151.52	13.50568	0.994024	0.998466	1.00152	1.00599	2.620055
192	0	-447.6452	-450.1242	2.478941	56407.22	14.96348	0.994653	0.998628	1.00136	1.00536	2.55382
193	1	-458.9325	-453.3577	-5.574737	92313.88	14.94092	0.99582	0.998928	1.00107	1.00419	3.092873
194	0	-454.6081	-451.1714	-3.436683	85912.56	14.5568	0.995667	0.998889	1.0011	1.00434	2.959529
195	1	-456.4473	-458.4491	2.001789	32125.49	14.4189	0.992917	0.99818	1.0018	1.0071	2.585504
196	0	-458.525	-452.5764	-5.948656	59825.93	12.65653	0.994808	0.998668	1.00132	1.0052	3.179229
197	1	-456.3863	-455.2576	-1.128779	74752.01	13.6417	0.995355	0.998809	1.00118	1.00465	2.807156
198	0	-460.6384	-456.6541	-3.984244	3758.468	11.62563	0.979343	0.994628	1.00522	1.02081	3.010278
199	1	-461.2391	-462.7191	1.479947	74191.18	14.73078	0.995337	0.998804	1.00119	1.00467	2.621515
200	0	-456.4141	-456.2884	-0.1257332	44032.29	10.69266	0.993949	0.998446	1.00154	1.00606	2.608763
201	1	-453.125	-455.0206	1.895614	97252.38	16.06471	0.995927	0.998956	1.00104	1.00408	2.582594
202	0	-464.3898	-461.2536	-3.136199	67451.65	10.70268	0.99511	0.998746	1.00125	1.0049	2.891003
203	1	-463.5958	-466.929	3.33323	39661.27	14.2288	0.993625	0.998363	1.00162	1.00639	2.490903
204	0	-459.3136	-461.6721	2.358525	84122.03	19.21034	0.995621	0.998877	1.00112	1.00439	2.484514
205	1	-450.2393	-448.4744	-1.764808	80257.59	16.77796	0.995517	0.99885	1.00114	1.00449	2.788628
206	0	-464.8437	-463.1811	-1.662583	70018.99	11.69956	0.9952	0.998769	1.00122	1.00481	2.813766
207	1	-459.5961	-459.2236	-0.3724992	35509.31	12.38491	0.993263	0.998269	1.00171	1.00675	2.731284
208	0	-444.7451	-449.9743	5.229291	37425.3	17.11441	0.993437	0.998314	1.00167	1.00658	2.368772
209	1	-475.2247	-466.6028	-8.621911	7796.484	8.569322	0.985641	0.996287	1.00364	1.01443	3.237052
210	0	-457.8927	-452.4983	-5.394442	20288.57	17.96452	0.99109	0.997707	1.00227	1.00894	2.949227
211	1	-459.8836	-453.1185	-6.765093	15298.13	11.73266	0.989742	0.997356	1.00261	1.0103	3.250035
212	0	-450.859	-448.7175	-2.141518	3461.034	12.02775	0.978477	0.994399	1.00544	1.02169	2.865657
213	1	-464.9724	-459.3825	-5.589973	78467.97	9.171994	0.995466	0.998837	1.00116	1.00454	2.984463
214	0	-454.7794	-453.5944	-1.18508	75229.24	12.71209	0.995369	0.998813	1.00118	1.00464	2.803859
215	1	-458.3497	-453.4394	-4.910311	82900.13	15.85265	0.995589	0.998869	1.00112	1.00442	3.014773
216	0	-456.0719	-450.2529	-5.818982	82599.21	10.55725	0.995581	0.998867	1.00113	1.00443	3.134568
217	1	-465.4889	-457.8517	-7.637206	29460.54	10.47453	0.992604	0.998099	1.00188	1.00742	3.303696
218	0	-465.7251	-457.2785	-8.446578	45742.72	9.733563	0.994063	0.998476	1.00151	1.00595	3.344531
219	1	-459.5515	-458.2276	-1.323846	68495.77	12.8921	0.995147	0.998755	1.00124	1.00486	2.817399
220	0	-457.6335	-456.9653	-0.6681863	58878.64	10.2628	0.994766	0.998657	1.00133	1.00524	2.615342
221	1	-450.8171	-456.4695	5.652438	91201.66	19.82545	0.995794	0.998922	1.00107	1.00421	2.300258
222	0	-459.4986	-453.2827	-6.21586	73370.67	10.70052	0.995311	0.998798	1.00119	1.0047	3.178658
223	1	-459.0704	-454.5077	-4.562698	35391.18	12.15961	0.993251	0.998266	1.00172	1.00676	3.068293
224	0	-449.9074	-445.1799	-4.727577	56674.2	14.00202	0.994666	0.998631	1.00136	1.00534	3.063129
225	1	-453.4901	-450.4452	-3.04492	30450.3	12.53002	0.992725	0.99813	1.00185	1.00729	2.948734
226	0	-461.3997	-457.9712	-3.428564	82430	11.36036	0.995576	0.998866	1.00113	1.00443	2.953021
