Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1220	-453.5461	-462.3117	8.765563	10640.19	17.32252	0.987704	0.996826	1.00312	1.01235	2.162376
1230	-468.3665	-467.3197	-1.04676	6874.311	15.24154	0.984711	0.996043	1.00387	1.01537	2.784431
1240	-451.977	-454.5133	2.536289	80590.94	14.92582	0.995526	0.998853	1.00114	1.00448	2.550004
1250	-452.7354	-453.1022	0.3667947	83505.27	15.95029	0.995605	0.998873	1.00112	1.0044	2.68003
1260	-459.0575	-453.3654	-5.69213	71092.68	12.78628	0.995237	0.998778	1.00121	1.00477	3.157581
1270	-456.7125	-454.1883	-2.524222	57927.65	15.41213	0.994724	0.998646	1.00134	1.00529	2.876871
1280	-462.3705	-457.7937	-4.576871	96888.71	12.78551	0.995919	0.998954	1.00104	1.00409	3.070362
1290	-454.9288	-452.6467	-2.282026	26678.36	10.10743	0.992229	0.998002	1.00198	1.00779	2.756408
1300	-450.3426	-449.937	-0.4055939	60481.29	14.38252	0.994836	0.998675	1.00132	1.00517	2.752731
1310	-461.5179	-458.6541	-2.863814	67610.83	12.44312	0.995116	0.998747	1.00124	1.00489	2.933238
1320	-470.9453	-462.5921	-8.353193	24590.34	12.05695	0.991906	0.997918	1.00206	1.00812	3.381672
1330	-459.3539	-458.2736	-1.080286	84122.75	15.02475	0.995621	0.998877	1.00112	1.00439	2.790632
1340	-459.6147	-455.7589	-3.855804	22518.11	12.73216	0.991542	0.997824	1.00215	1.00848	3.013966
1350	-462.6749	-456.3435	-6.331395	51308.38	15.65518	0.994394	0.998561	1.00143	1.00562	3.113269
1360	-455.7894	-453.3442	-2.445175	38759.44	12.92535	0.993551	0.998344	1.00164	1.00646	2.904561
1370	-469.6471	-461.9273	-7.719754	18745.18	13.3805	0.990731	0.997613	1.00236	1.0093	3.2992
